InputListSize,ResultsTest1,ResultsTest2
0,24,24
100,4824,5376
200,9624,10688
300,14424,16512
400,19224,21312
500,24024,26112
600,28824,32960
700,33624,37760
800,38424,42560
900,43224,47360
1000,48024,52160
1100,52824,61056
1200,57624,65856
1300,62424,70656
1400,67224,75456
1500,72024,80256
1600,76824,85056
1700,81624,89856
1800,86424,94656
1900,91224,99456
2000,96024,104256
2100,100824,117248
2200,105624,122048
2300,110424,126848
2400,115224,131648
2500,120024,136448
2600,124824,141248
2700,129624,146048
2800,134424,150848
2900,139224,155648
3000,144024,160448
3100,148824,165248
3200,153624,170048
3300,158424,174848
3400,163224,179648
3500,168024,184448
3600,172824,189248
3700,177624,194048
3800,182424,198848
3900,187224,203648
4000,192024,208448
4100,196824,229632
4200,201624,234432
4300,206424,239232
4400,211224,244032
4500,216024,248832
4600,220824,253632
4700,225624,258432
4800,230424,263232
4900,235224,268032
5000,240024,272832
5100,244824,277632
5200,249624,282432
5300,254424,287232
5400,259224,292032
5500,264024,296832
5600,268824,301632
5700,273624,306432
5800,278424,311232
5900,283224,316032
6000,288024,320832
6100,292824,325632
6200,297624,330432
6300,302424,335232
6400,307224,340032
6500,312024,344832
6600,316824,349632
6700,321624,354432
6800,326424,359232
6900,331224,364032
7000,336024,368832
7100,340824,373632
7200,345624,378432
7300,350424,383232
7400,355224,388032
7500,360024,392832
7600,364824,397632
7700,369624,402432
7800,374424,407232
7900,379224,412032
8000,384024,416832
8100,388824,421632
8200,393624,459200
8300,398424,464000
8400,403224,468800
8500,408024,473600
8600,412824,478400
8700,417624,483200
8800,422424,488000
8900,427224,492800
9000,432024,497600
9100,436824,502400
9200,441624,507200
9300,446424,512000
9400,451224,516800
9500,456024,521600
9600,460824,526400
9700,465624,531200
9800,470424,536000
9900,475224,540800
10000,480024,545600
10100,484824,550400
10200,489624,555200
10300,494424,560000
10400,499224,564800
10500,504024,569600
10600,508824,574400
10700,513624,579200
10800,518424,584000
10900,523224,588800
11000,528024,593600
11100,532824,598400
11200,537624,603200
11300,542424,608000
11400,547224,612800
11500,552024,617600
11600,556824,622400
11700,561624,627200
11800,566424,632000
11900,571224,636800
12000,576024,641600
12100,580824,646400
12200,585624,651200
12300,590424,656000
12400,595224,660800
12500,600024,665600
12600,604824,670400
12700,609624,675200
12800,614424,680000
12900,619224,684800
13000,624024,689600
13100,628824,694400
13200,633624,699200
13300,638424,704000
13400,643224,708800
13500,648024,713600
13600,652824,718400
13700,657624,723200
13800,662424,728000
13900,667224,732800
14000,672024,737600
14100,676824,742400
14200,681624,747200
14300,686424,752000
14400,691224,756800
14500,696024,761600
14600,700824,766400
14700,705624,771200
14800,710424,776000
14900,715224,780800
15000,720024,785600
15100,724824,790400
15200,729624,795200
15300,734424,800000
15400,739224,804800
15500,744024,809600
15600,748824,814400
15700,753624,819200
15800,758424,824000
15900,763224,828800
16000,768024,833600
16100,772824,838400
16200,777624,843200
16300,782424,848000
16400,787224,918336
16500,792024,923136
16600,796824,927936
16700,801624,932736
16800,806424,937536
16900,811224,942336
17000,816024,947136
17100,820824,951936
17200,825624,956736
17300,830424,961536
17400,835224,966336
17500,840024,971136
17600,844824,975936
17700,849624,980736
17800,854424,985536
17900,859224,990336
18000,864024,995136
18100,868824,999936
18200,873624,1004736
18300,878424,1009536
18400,883224,1014336
18500,888024,1019136
18600,892824,1023936
18700,897624,1028736
18800,902424,1033536
18900,907224,1038336
19000,912024,1043136
19100,916824,1047936
19200,921624,1052736
19300,926424,1057536
19400,931224,1062336
19500,936024,1067136
19600,940824,1071936
19700,945624,1076736
19800,950424,1081536
19900,955224,1086336
